Variant,Test_Name,Vac_Status,Incubation_Period,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60
Omicron,RT-PCR,Unvaccinated,21,6.65E-24,4.92E-24,2.38E-24,3.38E-11,7.43E-05,0.004071108,0.029995736,0.095992719,0.201549449,0.332406886,0.471285555,0.603993294,0.721185708,0.817953564,0.892705116,0.946032128,0.979799991,0.996498408,0.998930967,0.990397364,0.966309484,0.867859715,0.732375213,0.599150307,0.481796089,0.383888283,0.304561244,0.241319452,0.19133645,0.1519953,0.121069758,0.096746001,0.077581062,0.062442386,0.050447599,0.04091172,0.033303624,0.027211302,0.022314657,0.018364431,0.015165995,0.012566905,0.010447359,0.008712888,0.007288735,0.006115534,0.005145972,0.004342215,0.003673899,0.003116576,0.002650492,0.00225964,0.001931,0.001653956,0.00141982,0.001221465,0.001053025,0.000909726,0.000797194,0.000731636
Omicron,RT-PCR,Unvaccinated,22,6.68E-24,5.07E-24,2.69E-24,5.55E-17,1.65E-05,0.00190394,0.018534632,0.068460299,0.156701439,0.273877254,0.405010659,0.536125175,0.656948918,0.761222437,0.84599835,0.910702571,0.956287619,0.984578463,0.997810985,0.998493949,0.989513457,0.965003373,0.86507464,0.729377694,0.596403665,0.479457868,0.38197285,0.303024958,0.240101437,0.190376459,0.151240491,0.120476381,0.096278931,0.077212594,0.062150876,0.050216224,0.040727433,0.033156309,0.027093106,0.022219471,0.018287493,0.01510358,0.01251609,0.010405843,0.008678854,0.007260741,0.006092433,0.00512685,0.004326338,0.003660677,0.003105533,0.002641244,0.002251873,0.001924461,0.001648436,0.001415149,0.001217502,0.001049656,0.000906873,0.000795274
Omicron,RT-PCR,Unvaccinated,23,6.71E-24,5.20E-24,2.98E-24,6.87E-25,2.69E-06,0.000820824,0.011014805,0.047706458,0.119885164,0.222830605,0.344356887,0.471331961,0.593074793,0.702322962,0.794967897,0.869351648,0.92552237,0.96460579,0.988330675,0.998696074,0.997974417,0.988670256,0.963668303,0.862276584,0.72638221,0.593664973,0.477129008,0.380066237,0.30149626,0.238889654,0.18942146,0.150489626,0.119886094,0.095814277,0.076846011,0.061860838,0.049986,0.040544049,0.033009703,0.026975469,0.022124728,0.018210907,0.015041446,0.0124655,0.010364508,0.008644965,0.007232865,0.006069429,0.005107806,0.004310524,0.003647506,0.003094532,0.00263203,0.002244136,0.001917946,0.001642936,0.001410494,0.001213554,0.001046299,0.000904034
Omicron,RT-PCR,Unvaccinated,24,6.74E-24,5.32E-24,3.23E-24,9.51E-25,2.79E-07,0.000321333,0.006267448,0.032429368,0.090203039,0.179022728,0.28974062,0.410565757,0.530879523,0.642766884,0.741179127,0.823490471,0.888886286,0.937786874,0.971380148,0.991273792,0.999254143,0.997399732,0.987867471,0.962317307,0.859466012,0.723388974,0.590934297,0.474809518,0.378168432,0.299975125,0.237684079,0.18847143,0.149742685,0.119298884,0.095352025,0.076481304,0.061572263,0.049756922,0.040361562,0.032863804,0.02685839,0.022030427,0.018134672,0.014979592,0.012415134,0.010323353,0.008611222,0.007205106,0.006046519,0.005088839,0.004294773,0.003634388,0.003083575,0.002622852,0.002236427,0.001911455,0.001637456,0.001405857,0.00120962,0.001042954
Omicron,RT-PCR,Unvaccinated,25,6.76E-24,5.43E-24,3.47E-24,1.23E-24,1.39E-08,0.000111895,0.003395877,0.021460537,0.066698022,0.141995789,0.241276459,0.354449638,0.471367777,0.583799756,0.685990444,0.774486296,0.847678016,0.905298832,0.947982677,0.976914864,0.993574326,0.999561162,0.996789701,0.987104049,0.960943802,0.856643398,0.720398169,0.588211694,0.472499391,0.376279399,0.298461516,0.236484675,0.187526342,0.148999645,0.118714731,0.094892161,0.076118458,0.061285144,0.049528981,0.040179969,0.032718607,0.026741865,0.021936565,0.018058786,0.014918015,0.01236499,0.010282377,0.008577622,0.007177464,0.006023704,0.005069949,0.004279086,0.003621321,0.00307266,0.002613709,0.002228748,0.001904987,0.001631996,0.001401236,0.0012057
Omicron,RT-PCR,Unvaccinated,26,6.78E-24,5.53E-24,3.68E-24,1.51E-24,1.81E-10,3.37E-05,0.001740443,0.01379156,0.048419587,0.111157026,0.198849982,0.303334403,0.41526983,0.526418817,0.630554481,0.72355048,0.803091107,0.868261296,0.919146153,0.956492759,0.981447144,0.995361179,0.999675408,0.996158741,0.986378483,0.959542627,0.853809175,0.717409993,0.585497226,0.470198625,0.374399116,0.296955403,0.235291415,0.186586168,0.148260485,0.118133618,0.094434672,0.075757467,0.060999472,0.049302173,0.039999263,0.032574108,0.026625891,0.021843138,0.017983246,0.014856715,0.012315068,0.010241578,0.008544166,0.007149937,0.006000984,0.005051136,0.004263461,0.003608306,0.003061787,0.002604601,0.002221097,0.001898544,0.001626556,0.001396631
Omicron,RT-PCR,Unvaccinated,27,6.80E-24,5.61E-24,3.88E-24,1.78E-24,9.38E-14,8.37E-06,0.000836833,0.00858165,0.034468882,0.085840896,0.162180334,0.257351476,0.363080028,0.471396009,0.575826834,0.671735206,0.756201378,0.827717064,0.885839364,0.930874964,0.963620631,0.985163531,0.99673502,0.99964166,0.995517469,0.985689021,0.958109502,0.850963797,0.714424651,0.582790963,0.467907235,0.37252757,0.295456763,0.234104277,0.18565089,0.147525188,0.117555532,0.093979547,0.075398321,0.060715241,0.049076492,0.039819441,0.032430305,0.026510465,0.021750147,0.017908051,0.014795691,0.012265366,0.010200956,0.008510852,0.007122527,0.005978357,0.0050324,0.004247899,0.003595342,0.003050956,0.002595528,0.002213475,0.001892125,0.001621136
Omicron,RT-PCR,Unvaccinated,28,6.82E-24,5.69E-24,4.05E-24,2.04E-24,2.98E-24,1.61E-06,0.000373603,0.005151976,0.024027319,0.06535666,0.130872668,0.216460556,0.31509441,0.419303566,0.522579745,0.619936593,0.707961345,0.784619861,0.848975014,0.900902965,0.940845206,0.969608479,0.9882119,0.997775117,0.99949445,0.994873696,0.985033791,0.956641354,0.848107708,0.71144233,0.580092959,0.465625208,0.370664732,0.293965564,0.232923227,0.184720481,0.146793734,0.116980456,0.093526773,0.075041009,0.060432442,0.048851931,0.039640499,0.032287193,0.026395586,0.021657588,0.017833201,0.01473494,0.012215883,0.010160511,0.008477681,0.007095231,0.005955823,0.00501374,0.004232399,0.003582429,0.003040167,0.002586489,0.002205882,0.001885729
Omicron,Abbot PanBio,Unvaccinated,1,0.402951593,0.777623531,0.6542694,0.527271423,0.414221312,0.320350039,0.245306911,0.186632307,0.141373174,0.106758957,0.080432642,0.060485105,0.045411676,0.034045279,0.025489378,0.019059328,0.014234259,0.010618895,0.007913842,0.005892699,0.004384532,0.003260503,0.002423668,0.001801218,0.001338573,0.000994895,0.000739683,0.000550195,0.000409501,0.000305013,0.000227385,0.00016968,0.000126755,9.48E-05,7.10E-05,5.32E-05,4.00E-05,3.00E-05,2.27E-05,1.77E-05,1.45E-05,1.22E-05,1.05E-05,1.07E-05,1.32E-05,1.70E-05,2.21E-05,2.82E-05,3.47E-05,4.16E-05,4.88E-05,5.62E-05,6.38E-05,7.17E-05,7.98E-05,8.81E-05,9.66E-05,0.000105337,0.000114247,0.000123343
Omicron,Abbot PanBio,Unvaccinated,2,0.066134605,0.740069597,0.77521702,0.651449855,0.524629748,0.41197046,0.318524475,0.243867253,0.185515926,0.140516486,0.106105943,0.079937091,0.060110216,0.045128728,0.033832127,0.02532907,0.01893895,0.014144,0.010551318,0.007863318,0.005854975,0.004356402,0.00323955,0.002408077,0.001789626,0.00132996,0.000988498,0.000734933,0.000546668,0.000406882,0.000303068,0.00022594,0.000168605,0.000125955,9.42E-05,7.05E-05,5.29E-05,3.97E-05,2.99E-05,2.25E-05,1.76E-05,1.44E-05,1.22E-05,1.04E-05,9.13E-06,9.54E-06,1.18E-05,1.47E-05,1.83E-05,2.26E-05,2.77E-05,3.30E-05,3.86E-05,4.43E-05,5.02E-05,5.63E-05,6.26E-05,6.90E-05,7.56E-05,8.23E-05
